Game no.,Winner,Score,mcbadboy,mcboy
1000,mcboy,3,0,3
1000,mcboy,3,0,6
1000,mcboy,3,0,9
1000,mcboy,3,0,12
1000,mcboy,3,0,15
1000,mcboy,3,0,18
1000,mcboy,3,0,21
1000,mcboy,3,0,24
1000,mcboy,2,0,26
1000,mcboy,3,0,29
1000,mcboy,3,0,32
1000,mcboy,3,0,35
1000,mcboy,2,0,37
1000,mcboy,3,0,40
1000,mcboy,2,0,42
1000,mcboy,3,0,45
1000,mcboy,3,0,48
1000,mcboy,3,0,51
1000,mcboy,3,0,54
1000,mcboy,3,0,57
1000,mcboy,2,0,59
1000,mcboy,3,0,62
1000,mcboy,3,0,65
1000,mcboy,3,0,68
1000,mcboy,3,0,71
1000,mcboy,3,0,74
1000,mcboy,3,0,77
1000,mcboy,2,0,79
1000,mcboy,3,0,82
1000,mcboy,3,0,85
1000,mcboy,3,0,88
1000,mcboy,3,0,91
1000,mcboy,2,0,93
1000,mcboy,3,0,96
1000,mcboy,3,0,99
1000,mcboy,3,0,102
1000,mcboy,3,0,105
1000,mcboy,3,0,108
1000,mcboy,3,0,111
1000,mcboy,2,0,113
1000,mcboy,2,0,115
1000,mcboy,3,0,118
1000,mcboy,3,0,121
1000,mcboy,3,0,124
1000,mcboy,3,0,127
1000,mcboy,3,0,130
1000,mcboy,3,0,133
1000,mcboy,3,0,136
1000,mcboy,3,0,139
1000,mcboy,3,0,142
1000,mcboy,3,0,145
1000,mcboy,3,0,148
1000,mcboy,3,0,151
1000,mcboy,3,0,154
1000,mcboy,3,0,157
1000,mcboy,3,0,160
1000,mcboy,3,0,163
1000,mcboy,2,0,165
1000,mcboy,3,0,168
1000,mcboy,3,0,171
1000,mcboy,2,0,173
1000,mcboy,3,0,176
1000,mcboy,3,0,179
1000,mcboy,3,0,182
1000,mcboy,3,0,185
1000,mcboy,3,0,188
1000,mcboy,3,0,191
1000,mcboy,3,0,194
1000,mcboy,3,0,197
1000,mcboy,3,0,200
1000,mcboy,3,0,203
1000,mcboy,3,0,206
1000,mcboy,3,0,209
1000,mcboy,3,0,212
1000,mcboy,3,0,215
1000,mcboy,3,0,218
1000,mcboy,3,0,221
1000,mcboy,2,0,223
1000,mcboy,3,0,226
1000,mcboy,3,0,229
1000,mcboy,2,0,231
1000,mcboy,3,0,234
1000,mcboy,3,0,237
1000,mcboy,3,0,240
1000,mcboy,3,0,243
1000,mcboy,3,0,246
1000,mcboy,3,0,249
1000,mcboy,2,0,251
1000,mcboy,3,0,254
1000,mcboy,3,0,257
1000,mcboy,3,0,260
1000,mcboy,3,0,263
1000,mcboy,3,0,266
1000,mcboy,3,0,269
1000,mcboy,3,0,272
1000,mcboy,3,0,275
1000,mcboy,3,0,278
1000,mcboy,3,0,281
1000,mcboy,3,0,284
1000,mcboy,3,0,287
1000,mcboy,3,0,290
1000,mcboy,3,0,293
1000,mcboy,3,0,296
1000,mcboy,2,0,298
1000,mcboy,3,0,301
1000,mcboy,3,0,304
1000,mcboy,3,0,307
1000,mcboy,3,0,310
1000,mcboy,2,0,312
1000,mcboy,2,0,314
1000,mcboy,2,0,316
1000,mcboy,3,0,319
1000,mcboy,3,0,322
1000,mcboy,2,0,324
1000,mcboy,3,0,327
