Game no.,Winner,Score,mcbadboy,rand
1000,rand,3,0,3
1000,rand,2,0,5
1000,rand,2,0,7
1000,rand,3,0,10
1000,rand,3,0,13
1000,rand,3,0,16
1000,rand,2,0,18
1000,rand,1,0,19
1000,rand,3,0,22
1000,rand,3,0,25
1000,rand,3,0,28
1000,rand,3,0,31
1000,rand,2,0,33
1000,rand,1,0,34
1000,rand,3,0,37
1000,rand,3,0,40
1000,rand,3,0,43
1000,rand,3,0,46
1000,rand,3,0,49
1000,rand,3,0,52
1000,mcbadboy,2,2,52
1000,rand,3,2,55
1000,mcbadboy,1,3,55
1000,rand,1,3,56
1000,rand,2,3,58
1000,rand,1,3,59
1000,rand,3,3,62
1000,rand,3,3,65
1000,rand,2,3,67
1000,mcbadboy,1,4,67
1000,rand,2,4,69
1000,rand,2,4,71
1000,rand,2,4,73
1000,mcbadboy,1,5,73
1000,rand,2,5,75
1000,rand,1,5,76
1000,rand,2,5,78
1000,rand,1,5,79
1000,rand,3,5,82
1000,rand,2,5,84
1000,rand,2,5,86
1000,rand,3,5,89
1000,rand,3,5,92
1000,rand,3,5,95
1000,rand,2,5,97
1000,rand,3,5,100
1000,rand,3,5,103
1000,mcbadboy,1,6,103
1000,rand,3,6,106
1000,rand,2,6,108
1000,rand,3,6,111
1000,rand,1,6,112
1000,rand,2,6,114
1000,rand,3,6,117
1000,rand,1,6,118
1000,rand,2,6,120
1000,rand,3,6,123
1000,rand,1,6,124
1000,rand,3,6,127
1000,rand,3,6,130
1000,rand,3,6,133
1000,rand,2,6,135
1000,rand,3,6,138
1000,rand,2,6,140
1000,rand,3,6,143
1000,rand,3,6,146
1000,rand,2,6,148
1000,rand,2,6,150
1000,rand,3,6,153
1000,rand,1,6,154
1000,rand,1,6,155
1000,rand,2,6,157
1000,rand,2,6,159
1000,rand,2,6,161
1000,rand,3,6,164
1000,rand,2,6,166
1000,rand,3,6,169
1000,rand,1,6,170
1000,rand,3,6,173
1000,rand,3,6,176
1000,rand,3,6,179
1000,rand,2,6,181
1000,rand,3,6,184
1000,rand,1,6,185
1000,rand,3,6,188
1000,rand,2,6,190
1000,rand,2,6,192
1000,rand,1,6,193
1000,rand,3,6,196
1000,rand,3,6,199
1000,rand,2,6,201
1000,rand,2,6,203
1000,rand,3,6,206
1000,rand,2,6,208
1000,rand,1,6,209
1000,rand,3,6,212
1000,rand,3,6,215
1000,rand,3,6,218
1000,rand,3,6,221
1000,rand,2,6,223
1000,rand,1,6,224
1000,rand,2,6,226
1000,rand,3,6,229
1000,rand,1,6,230
1000,rand,3,6,233
1000,rand,3,6,236
1000,rand,3,6,239
1000,rand,1,6,240
1000,rand,3,6,243
1000,rand,3,6,246
1000,rand,2,6,248
1000,rand,3,6,251
1000,rand,3,6,254
1000,mcbadboy,2,8,254
1000,rand,3,8,257
1000,rand,3,8,260
1000,mcbadboy,1,9,260
1000,rand,2,9,262
1000,rand,2,9,264
1000,rand,3,9,267
1000,rand,3,9,270
1000,rand,3,9,273
1000,rand,2,9,275
1000,rand,3,9,278
1000,rand,2,9,280
1000,rand,3,9,283
1000,rand,3,9,286
1000,rand,2,9,288
1000,rand,3,9,291
1000,mcbadboy,2,11,291
1000,rand,3,11,294
1000,rand,3,11,297
1000,rand,2,11,299
1000,rand,1,11,300
1000,rand,3,11,303
1000,rand,3,11,306
1000,rand,3,11,309
1000,rand,3,11,312
1000,rand,1,11,313
1000,rand,2,11,315
1000,rand,3,11,318
1000,rand,2,11,320
1000,rand,1,11,321
1000,rand,3,11,324
1000,rand,3,11,327
1000,mcbadboy,2,13,327
1000,rand,2,13,329
1000,rand,3,13,332
1000,rand,2,13,334
1000,rand,1,13,335
1000,rand,2,13,337
1000,rand,3,13,340
1000,rand,3,13,343
1000,rand,3,13,346
1000,rand,3,13,349
1000,rand,3,13,352
1000,rand,3,13,355
1000,mcbadboy,1,14,355
1000,rand,3,14,358
1000,rand,2,14,360
1000,rand,3,14,363
1000,rand,1,14,364
1000,rand,2,14,366
1000,rand,3,14,369
1000,rand,2,14,371
1000,rand,3,14,374
1000,rand,3,14,377
1000,rand,3,14,380
1000,rand,2,14,382
1000,rand,3,14,385
1000,rand,3,14,388
1000,rand,2,14,390
1000,mcbadboy,1,15,390
1000,rand,1,15,391
1000,rand,2,15,393
1000,rand,3,15,396
1000,rand,1,15,397
1000,rand,2,15,399
1000,rand,1,15,400
1000,rand,3,15,403
1000,rand,3,15,406
1000,rand,3,15,409
1000,rand,2,15,411
1000,rand,3,15,414
1000,rand,2,15,416
1000,rand,2,15,418
1000,rand,3,15,421
1000,rand,2,15,423
1000,rand,1,15,424
1000,rand,1,15,425
1000,rand,3,15,428
1000,rand,3,15,431
1000,rand,2,15,433
1000,rand,3,15,436
1000,rand,1,15,437
1000,rand,1,15,438
1000,rand,3,15,441
1000,rand,3,15,444
1000,rand,3,15,447
1000,rand,1,15,448
1000,rand,2,15,450
1000,rand,3,15,453
1000,rand,2,15,455
1000,rand,1,15,456
1000,rand,1,15,457
1000,rand,3,15,460
1000,rand,2,15,462
1000,rand,3,15,465
1000,rand,2,15,467
1000,rand,3,15,470
1000,rand,3,15,473
1000,rand,3,15,476
1000,rand,2,15,478
1000,rand,2,15,480
1000,rand,2,15,482
1000,rand,2,15,484
1000,rand,2,15,486
1000,rand,3,15,489
1000,rand,2,15,491
1000,rand,2,15,493
1000,rand,3,15,496
1000,rand,3,15,499
1000,rand,1,15,500
1000,rand,2,15,502
1000,rand,1,15,503
1000,rand,3,15,506
1000,rand,3,15,509
1000,rand,1,15,510
1000,rand,3,15,513
1000,rand,1,15,514
1000,rand,3,15,517
1000,rand,2,15,519
1000,rand,1,15,520
1000,rand,2,15,522
1000,rand,3,15,525
1000,rand,3,15,528
1000,rand,3,15,531
1000,rand,2,15,533
1000,rand,3,15,536
1000,rand,2,15,538
1000,rand,3,15,541
1000,rand,2,15,543
1000,rand,1,15,544
1000,rand,2,15,546
1000,rand,2,15,548
1000,rand,3,15,551
1000,rand,3,15,554
1000,rand,2,15,556
1000,rand,3,15,559
1000,rand,1,15,560
1000,rand,2,15,562
1000,rand,3,15,565
1000,rand,3,15,568
1000,rand,3,15,571
1000,rand,3,15,574
1000,mcbadboy,2,17,574
1000,rand,2,17,576
1000,rand,1,17,577
1000,rand,3,17,580
1000,rand,2,17,582
1000,mcbadboy,2,19,582
1000,rand,3,19,585
1000,rand,2,19,587
1000,rand,2,19,589
1000,rand,2,19,591
1000,rand,3,19,594
1000,rand,2,19,596
1000,rand,3,19,599
1000,rand,1,19,600
