Game no.,Winner,Score,mcboy,bully
1,bully,1,0,1
2,mcboy,1,1,1
3,mcboy,2,3,1
4,mcboy,1,4,1
5,mcboy,2,6,1
6,mcboy,1,7,1
7,mcboy,2,9,1
8,mcboy,1,10,1
9,mcboy,1,11,1
10,mcboy,1,12,1
11,mcboy,1,13,1
12,mcboy,2,15,1
13,bully,1,15,2
14,mcboy,1,16,2
15,bully,2,16,4
16,mcboy,1,17,4
17,mcboy,2,19,4
18,mcboy,1,20,4
19,mcboy,2,22,4
20,mcboy,1,23,4
21,mcboy,1,24,4
22,mcboy,1,25,4
23,mcboy,2,27,4
24,mcboy,1,28,4
25,mcboy,3,31,4
26,mcboy,3,34,4
27,mcboy,2,36,4
28,mcboy,2,38,4
29,mcboy,2,40,4
30,mcboy,1,41,4
31,mcboy,2,43,4
32,mcboy,1,44,4
33,mcboy,2,46,4
34,mcboy,1,47,4
35,mcboy,1,48,4
36,mcboy,1,49,4
37,mcboy,2,51,4
38,mcboy,2,53,4
39,bully,1,53,5
40,mcboy,1,54,5
41,mcboy,2,56,5
42,mcboy,1,57,5
43,mcboy,2,59,5
44,mcboy,1,60,5
45,mcboy,2,62,5
46,mcboy,1,63,5
47,mcboy,3,66,5
48,bully,2,66,7
49,mcboy,2,68,7
50,mcboy,1,69,7
51,mcboy,1,70,7
52,bully,2,70,9
53,mcboy,1,71,9
54,mcboy,1,72,9
55,mcboy,2,74,9
56,mcboy,1,75,9
57,mcboy,1,76,9
58,mcboy,1,77,9
59,mcboy,1,78,9
60,mcboy,2,80,9
61,mcboy,1,81,9
62,mcboy,2,83,9
63,mcboy,2,85,9
64,mcboy,1,86,9
65,mcboy,1,87,9
66,bully,2,87,11
67,mcboy,1,88,11
68,mcboy,2,90,11
69,mcboy,1,91,11
70,mcboy,1,92,11
71,mcboy,1,93,11
72,mcboy,2,95,11
73,mcboy,2,97,11
74,mcboy,2,99,11
75,mcboy,1,100,11
76,mcboy,2,102,11
77,mcboy,1,103,11
78,mcboy,1,104,11
79,mcboy,1,105,11
80,mcboy,1,106,11
81,mcboy,1,107,11
82,mcboy,2,109,11
83,mcboy,1,110,11
84,mcboy,1,111,11
85,mcboy,1,112,11
86,mcboy,2,114,11
87,mcboy,1,115,11
88,mcboy,1,116,11
89,mcboy,1,117,11
90,mcboy,1,118,11
91,mcboy,1,119,11
92,mcboy,1,120,11
93,mcboy,3,123,11
94,mcboy,2,125,11
95,mcboy,1,126,11
96,bully,3,126,14
97,mcboy,1,127,14
98,mcboy,2,129,14
99,mcboy,1,130,14
100,mcboy,1,131,14
