Game no.,Winner,Score,mcboy,rand
100,rand,1,0,1
100,rand,3,0,4
100,rand,3,0,7
100,rand,2,0,9
100,rand,2,0,11
100,rand,3,0,14
100,rand,2,0,16
100,rand,2,0,18
100,rand,1,0,19
100,rand,1,0,20
100,rand,2,0,22
100,rand,2,0,24
100,rand,2,0,26
100,rand,2,0,28
100,rand,2,0,30
100,rand,3,0,33
100,rand,2,0,35
100,rand,2,0,37
100,rand,3,0,40
100,rand,2,0,42
100,rand,3,0,45
100,rand,2,0,47
100,rand,3,0,50
100,rand,3,0,53
100,rand,2,0,55
100,mcboy,2,2,55
100,rand,2,2,57
100,rand,3,2,60
100,rand,2,2,62
100,rand,3,2,65
100,rand,3,2,68
100,rand,3,2,71
100,rand,2,2,73
100,rand,3,2,76
100,rand,2,2,78
100,rand,2,2,80
100,rand,2,2,82
100,rand,2,2,84
100,rand,2,2,86
100,rand,2,2,88
100,rand,2,2,90
100,rand,1,2,91
100,rand,2,2,93
100,mcboy,2,4,93
100,rand,2,4,95
100,rand,1,4,96
100,rand,2,4,98
100,rand,1,4,99
100,rand,3,4,102
100,rand,3,4,105
100,rand,2,4,107
100,rand,2,4,109
100,rand,1,4,110
100,rand,3,4,113
100,rand,1,4,114
100,rand,3,4,117
100,rand,3,4,120
100,rand,3,4,123
100,rand,1,4,124
100,rand,2,4,126
100,rand,2,4,128
100,rand,2,4,130
100,rand,3,4,133
100,rand,2,4,135
100,rand,2,4,137
100,rand,3,4,140
100,rand,2,4,142
100,rand,2,4,144
100,rand,3,4,147
100,rand,1,4,148
100,rand,1,4,149
100,rand,2,4,151
100,rand,3,4,154
100,rand,2,4,156
100,rand,2,4,158
100,rand,3,4,161
100,rand,2,4,163
100,rand,2,4,165
100,rand,2,4,167
100,rand,2,4,169
100,rand,3,4,172
100,mcboy,1,5,172
100,rand,3,5,175
100,rand,2,5,177
100,rand,1,5,178
100,rand,2,5,180
100,rand,1,5,181
100,rand,2,5,183
100,rand,2,5,185
100,rand,1,5,186
100,rand,2,5,188
100,rand,2,5,190
100,rand,2,5,192
100,rand,2,5,194
100,rand,3,5,197
100,rand,2,5,199
100,rand,2,5,201
100,rand,2,5,203
100,rand,3,5,206
100,rand,2,5,208
