Game no.,Winner,Score,mcboy,rdeep
100,mcboy,1,1,0
100,mcboy,1,2,0
100,mcboy,1,3,0
100,mcboy,1,4,0
100,rdeep,2,4,2
100,mcboy,2,6,2
100,mcboy,1,7,2
100,mcboy,1,8,2
100,rdeep,2,8,4
100,rdeep,1,8,5
100,mcboy,2,10,5
100,rdeep,1,10,6
100,mcboy,2,12,6
100,mcboy,1,13,6
100,mcboy,1,14,6
100,mcboy,1,15,6
100,mcboy,2,17,6
100,mcboy,1,18,6
100,rdeep,1,18,7
100,mcboy,1,19,7
100,mcboy,1,20,7
100,mcboy,2,22,7
100,rdeep,1,22,8
100,mcboy,2,24,8
100,mcboy,1,25,8
100,mcboy,1,26,8
100,rdeep,1,26,9
100,rdeep,2,26,11
100,mcboy,2,28,11
100,mcboy,1,29,11
100,mcboy,1,30,11
100,mcboy,1,31,11
100,mcboy,1,32,11
100,mcboy,1,33,11
100,mcboy,2,35,11
100,rdeep,1,35,12
100,mcboy,1,36,12
100,mcboy,1,37,12
100,mcboy,1,38,12
100,rdeep,2,38,14
100,mcboy,1,39,14
100,mcboy,1,40,14
100,mcboy,1,41,14
100,mcboy,1,42,14
100,mcboy,1,43,14
100,rdeep,2,43,16
100,mcboy,1,44,16
100,rdeep,3,44,19
100,rdeep,2,44,21
100,mcboy,2,46,21
100,mcboy,2,48,21
100,mcboy,2,50,21
100,mcboy,1,51,21
100,mcboy,1,52,21
100,mcboy,1,53,21
100,mcboy,1,54,21
100,rdeep,2,54,23
100,mcboy,2,56,23
100,mcboy,1,57,23
100,rdeep,2,57,25
100,mcboy,2,59,25
100,mcboy,2,61,25
100,mcboy,1,62,25
100,mcboy,2,64,25
100,mcboy,1,65,25
100,mcboy,2,67,25
100,mcboy,1,68,25
100,rdeep,1,68,26
100,mcboy,1,69,26
100,rdeep,1,69,27
100,mcboy,1,70,27
100,mcboy,1,71,27
100,mcboy,2,73,27
100,rdeep,1,73,28
100,rdeep,2,73,30
100,rdeep,1,73,31
100,mcboy,1,74,31
100,rdeep,1,74,32
100,mcboy,1,75,32
100,mcboy,2,77,32
100,mcboy,1,78,32
100,mcboy,1,79,32
100,mcboy,2,81,32
100,rdeep,1,81,33
100,mcboy,1,82,33
100,mcboy,1,83,33
100,mcboy,1,84,33
100,mcboy,1,85,33
100,mcboy,1,86,33
100,mcboy,1,87,33
100,mcboy,1,88,33
100,mcboy,2,90,33
100,rdeep,2,90,35
100,mcboy,1,91,35
100,mcboy,2,93,35
100,mcboy,2,95,35
100,rdeep,1,95,36
100,rdeep,2,95,38
100,mcboy,1,96,38
100,rdeep,2,96,40
