Game no.,Winner,Score,mcboy,rdeep
100,mcboy,1,1,0
100,mcboy,1,2,0
100,rdeep,1,2,1
100,mcboy,1,3,1
100,mcboy,2,5,1
100,rdeep,2,5,3
100,mcboy,1,6,3
100,rdeep,2,6,5
100,rdeep,1,6,6
100,rdeep,1,6,7
100,mcboy,2,8,7
100,rdeep,2,8,9
100,mcboy,1,9,9
100,mcboy,2,11,9
100,mcboy,1,12,9
100,mcboy,2,14,9
100,mcboy,2,16,9
100,rdeep,1,16,10
100,mcboy,2,18,10
100,rdeep,2,18,12
100,rdeep,2,18,14
100,mcboy,1,19,14
100,rdeep,1,19,15
100,rdeep,1,19,16
100,mcboy,2,21,16
100,rdeep,1,21,17
100,mcboy,1,22,17
100,mcboy,2,24,17
100,mcboy,2,26,17
100,mcboy,2,28,17
100,rdeep,1,28,18
100,mcboy,1,29,18
100,mcboy,1,30,18
100,mcboy,2,32,18
100,mcboy,2,34,18
100,mcboy,1,35,18
100,mcboy,2,37,18
100,mcboy,1,38,18
100,rdeep,2,38,20
100,rdeep,1,38,21
100,rdeep,1,38,22
100,mcboy,2,40,22
100,mcboy,1,41,22
100,rdeep,1,41,23
100,rdeep,2,41,25
100,rdeep,1,41,26
100,mcboy,1,42,26
100,rdeep,1,42,27
100,mcboy,2,44,27
100,mcboy,1,45,27
100,rdeep,1,45,28
100,mcboy,1,46,28
100,mcboy,2,48,28
100,mcboy,1,49,28
100,rdeep,1,49,29
100,mcboy,1,50,29
100,mcboy,1,51,29
100,mcboy,1,52,29
100,mcboy,2,54,29
100,rdeep,1,54,30
100,mcboy,1,55,30
100,mcboy,1,56,30
100,mcboy,1,57,30
100,mcboy,2,59,30
100,mcboy,2,61,30
100,mcboy,1,62,30
100,mcboy,1,63,30
100,mcboy,2,65,30
100,mcboy,1,66,30
100,mcboy,1,67,30
100,rdeep,2,67,32
100,mcboy,1,68,32
100,mcboy,2,70,32
100,mcboy,1,71,32
100,mcboy,1,72,32
100,mcboy,1,73,32
100,rdeep,2,73,34
100,mcboy,2,75,34
100,rdeep,1,75,35
100,mcboy,1,76,35
100,mcboy,1,77,35
100,mcboy,1,78,35
100,rdeep,1,78,36
100,mcboy,2,80,36
100,mcboy,2,82,36
100,rdeep,1,82,37
100,mcboy,1,83,37
100,mcboy,1,84,37
100,rdeep,1,84,38
100,mcboy,1,85,38
100,rdeep,2,85,40
100,mcboy,1,86,40
100,rdeep,2,86,42
100,rdeep,2,86,44
100,mcboy,1,87,44
100,mcboy,2,89,44
100,rdeep,2,89,46
100,rdeep,1,89,47
100,mcboy,2,91,47
100,rdeep,1,91,48
