Game no.,Winner,Score,mcboy,rdeep
100,mcboy,1,1,0
100,mcboy,1,2,0
100,mcboy,1,3,0
100,mcboy,1,4,0
100,mcboy,2,6,0
100,mcboy,1,7,0
100,mcboy,1,8,0
100,rdeep,1,8,1
100,rdeep,2,8,3
100,mcboy,2,10,3
100,mcboy,1,11,3
100,mcboy,1,12,3
100,mcboy,2,14,3
100,mcboy,1,15,3
100,mcboy,2,17,3
100,mcboy,1,18,3
100,mcboy,2,20,3
100,mcboy,2,22,3
100,mcboy,1,23,3
100,mcboy,1,24,3
100,mcboy,1,25,3
100,mcboy,2,27,3
100,mcboy,1,28,3
100,mcboy,2,30,3
100,rdeep,1,30,4
100,mcboy,1,31,4
100,mcboy,2,33,4
100,mcboy,1,34,4
100,rdeep,1,34,5
100,rdeep,1,34,6
100,mcboy,2,36,6
100,mcboy,2,38,6
100,mcboy,1,39,6
100,mcboy,1,40,6
100,mcboy,2,42,6
100,mcboy,1,43,6
100,mcboy,1,44,6
100,mcboy,1,45,6
100,mcboy,1,46,6
100,rdeep,2,46,8
100,mcboy,1,47,8
100,mcboy,1,48,8
100,mcboy,1,49,8
100,mcboy,1,50,8
100,mcboy,1,51,8
100,mcboy,1,52,8
100,mcboy,1,53,8
100,rdeep,2,53,10
100,mcboy,1,54,10
100,rdeep,1,54,11
100,mcboy,1,55,11
100,mcboy,1,56,11
100,mcboy,1,57,11
100,mcboy,2,59,11
100,mcboy,1,60,11
100,mcboy,3,63,11
100,mcboy,1,64,11
100,rdeep,1,64,12
100,mcboy,2,66,12
100,mcboy,1,67,12
100,mcboy,1,68,12
100,mcboy,1,69,12
100,rdeep,2,69,14
100,mcboy,1,70,14
100,mcboy,2,72,14
100,mcboy,1,73,14
100,mcboy,1,74,14
100,mcboy,2,76,14
100,mcboy,2,78,14
100,mcboy,1,79,14
100,mcboy,1,80,14
100,mcboy,1,81,14
100,mcboy,1,82,14
100,mcboy,2,84,14
100,mcboy,1,85,14
100,mcboy,1,86,14
100,mcboy,1,87,14
100,mcboy,1,88,14
100,mcboy,1,89,14
100,mcboy,1,90,14
100,mcboy,2,92,14
100,mcboy,2,94,14
100,rdeep,1,94,15
100,mcboy,1,95,15
100,mcboy,1,96,15
100,rdeep,1,96,16
100,mcboy,1,97,16
100,mcboy,1,98,16
100,rdeep,1,98,17
100,mcboy,2,100,17
100,mcboy,1,101,17
100,mcboy,2,103,17
100,mcboy,1,104,17
100,rdeep,2,104,19
100,rdeep,1,104,20
100,mcboy,1,105,20
100,rdeep,2,105,22
100,rdeep,1,105,23
100,rdeep,1,105,24
100,rdeep,2,105,26
