Game no.,Winner,Score,mcboy,rdeep
100,rdeep,3,0,3
100,rdeep,3,0,6
100,rdeep,3,0,9
100,rdeep,3,0,12
100,rdeep,3,0,15
100,rdeep,2,0,17
100,rdeep,2,0,19
100,rdeep,3,0,22
100,rdeep,3,0,25
100,rdeep,3,0,28
100,rdeep,3,0,31
100,rdeep,3,0,34
100,rdeep,3,0,37
100,rdeep,3,0,40
100,rdeep,3,0,43
100,rdeep,2,0,45
100,rdeep,2,0,47
100,rdeep,2,0,49
100,rdeep,3,0,52
100,rdeep,3,0,55
100,rdeep,3,0,58
100,rdeep,2,0,60
100,rdeep,2,0,62
100,rdeep,2,0,64
100,rdeep,3,0,67
100,rdeep,2,0,69
100,rdeep,3,0,72
100,rdeep,3,0,75
100,rdeep,3,0,78
100,rdeep,3,0,81
100,rdeep,3,0,84
100,rdeep,3,0,87
100,rdeep,3,0,90
100,rdeep,2,0,92
100,rdeep,3,0,95
100,rdeep,3,0,98
100,rdeep,3,0,101
100,rdeep,3,0,104
100,rdeep,3,0,107
100,rdeep,3,0,110
100,rdeep,2,0,112
100,rdeep,3,0,115
100,rdeep,3,0,118
100,rdeep,3,0,121
100,rdeep,3,0,124
100,rdeep,3,0,127
100,rdeep,2,0,129
100,rdeep,3,0,132
100,rdeep,3,0,135
100,rdeep,3,0,138
100,rdeep,3,0,141
100,rdeep,3,0,144
100,rdeep,3,0,147
100,rdeep,3,0,150
100,rdeep,3,0,153
100,rdeep,3,0,156
100,rdeep,2,0,158
100,rdeep,3,0,161
100,rdeep,2,0,163
100,rdeep,3,0,166
100,rdeep,3,0,169
100,rdeep,3,0,172
100,rdeep,2,0,174
100,rdeep,3,0,177
100,rdeep,3,0,180
100,rdeep,3,0,183
100,rdeep,3,0,186
100,rdeep,3,0,189
100,rdeep,2,0,191
100,rdeep,2,0,193
100,rdeep,3,0,196
100,rdeep,3,0,199
100,rdeep,3,0,202
100,rdeep,3,0,205
100,rdeep,3,0,208
100,rdeep,2,0,210
100,rdeep,3,0,213
100,rdeep,3,0,216
100,rdeep,3,0,219
100,rdeep,3,0,222
100,rdeep,3,0,225
100,rdeep,2,0,227
100,rdeep,3,0,230
100,rdeep,3,0,233
100,rdeep,3,0,236
100,rdeep,3,0,239
100,rdeep,3,0,242
100,rdeep,3,0,245
100,rdeep,3,0,248
100,rdeep,3,0,251
100,rdeep,2,0,253
100,rdeep,3,0,256
100,rdeep,3,0,259
100,rdeep,2,0,261
100,rdeep,3,0,264
100,rdeep,2,0,266
100,rdeep,3,0,269
100,rdeep,3,0,272
100,rdeep,3,0,275
100,rdeep,3,0,278
