Game no.,Winner,Score,mcboy,rdeep
100,mcboy,1,1,0
100,rdeep,1,1,1
100,rdeep,2,1,3
100,mcboy,1,2,3
100,rdeep,1,2,4
100,mcboy,1,3,4
100,mcboy,1,4,4
100,mcboy,1,5,4
100,mcboy,1,6,4
100,rdeep,1,6,5
100,mcboy,1,7,5
100,mcboy,1,8,5
100,mcboy,2,10,5
100,mcboy,2,12,5
100,mcboy,2,14,5
100,mcboy,1,15,5
100,rdeep,2,15,7
100,mcboy,2,17,7
100,mcboy,1,18,7
100,mcboy,1,19,7
100,mcboy,2,21,7
100,rdeep,2,21,9
100,mcboy,1,22,9
100,mcboy,2,24,9
100,mcboy,1,25,9
100,mcboy,1,26,9
100,rdeep,2,26,11
100,mcboy,2,28,11
100,mcboy,2,30,11
100,mcboy,1,31,11
100,mcboy,2,33,11
100,mcboy,1,34,11
100,mcboy,1,35,11
100,mcboy,1,36,11
100,rdeep,1,36,12
100,mcboy,2,38,12
100,mcboy,1,39,12
100,mcboy,1,40,12
100,mcboy,2,42,12
100,mcboy,1,43,12
100,mcboy,2,45,12
100,rdeep,1,45,13
100,mcboy,1,46,13
100,mcboy,1,47,13
100,mcboy,2,49,13
100,mcboy,1,50,13
100,rdeep,2,50,15
100,rdeep,2,50,17
100,rdeep,1,50,18
100,rdeep,2,50,20
100,mcboy,1,51,20
100,rdeep,2,51,22
100,mcboy,1,52,22
100,rdeep,2,52,24
100,mcboy,2,54,24
100,mcboy,1,55,24
100,mcboy,1,56,24
100,mcboy,2,58,24
100,mcboy,2,60,24
100,rdeep,2,60,26
100,rdeep,2,60,28
100,mcboy,1,61,28
100,mcboy,1,62,28
100,rdeep,2,62,30
100,mcboy,2,64,30
100,mcboy,1,65,30
100,mcboy,1,66,30
100,rdeep,2,66,32
100,rdeep,2,66,34
100,rdeep,1,66,35
100,mcboy,2,68,35
100,mcboy,1,69,35
100,rdeep,2,69,37
100,rdeep,1,69,38
100,rdeep,2,69,40
100,rdeep,2,69,42
100,mcboy,1,70,42
100,mcboy,1,71,42
100,rdeep,2,71,44
100,mcboy,1,72,44
100,rdeep,1,72,45
100,mcboy,1,73,45
100,mcboy,2,75,45
100,mcboy,1,76,45
100,rdeep,1,76,46
100,rdeep,1,76,47
100,mcboy,1,77,47
100,rdeep,1,77,48
100,rdeep,1,77,49
100,mcboy,2,79,49
100,rdeep,2,79,51
100,rdeep,2,79,53
100,mcboy,1,80,53
100,mcboy,1,81,53
100,mcboy,2,83,53
100,mcboy,1,84,53
100,mcboy,1,85,53
100,rdeep,1,85,54
100,mcboy,1,86,54
100,mcboy,1,87,54
