Game no.,Winner,Score,mcboy,rdeep
1,mcboy,1,1,0
2,rdeep,2,1,2
3,mcboy,1,2,2
4,mcboy,2,4,2
5,mcboy,2,6,2
6,rdeep,3,6,5
7,mcboy,2,8,5
8,rdeep,2,8,7
9,rdeep,1,8,8
10,mcboy,1,9,8
11,mcboy,2,11,8
12,rdeep,2,11,10
13,rdeep,3,11,13
14,rdeep,1,11,14
15,mcboy,2,13,14
16,rdeep,2,13,16
17,mcboy,1,14,16
18,rdeep,1,14,17
19,rdeep,2,14,19
20,rdeep,2,14,21
21,mcboy,1,15,21
22,mcboy,2,17,21
23,mcboy,1,18,21
24,rdeep,2,18,23
25,rdeep,2,18,25
26,mcboy,1,19,25
27,rdeep,1,19,26
28,mcboy,1,20,26
29,mcboy,1,21,26
30,rdeep,2,21,28
31,mcboy,1,22,28
32,mcboy,1,23,28
33,mcboy,1,24,28
34,rdeep,1,24,29
35,rdeep,2,24,31
36,mcboy,1,25,31
37,rdeep,1,25,32
38,rdeep,1,25,33
39,rdeep,1,25,34
40,mcboy,1,26,34
41,rdeep,2,26,36
42,mcboy,1,27,36
43,mcboy,1,28,36
44,rdeep,1,28,37
45,rdeep,2,28,39
46,mcboy,1,29,39
47,mcboy,2,31,39
48,mcboy,1,32,39
49,rdeep,1,32,40
50,mcboy,1,33,40
51,mcboy,2,35,40
52,rdeep,1,35,41
53,rdeep,1,35,42
54,mcboy,2,37,42
55,rdeep,2,37,44
56,rdeep,1,37,45
57,mcboy,1,38,45
58,mcboy,1,39,45
59,rdeep,3,39,48
60,mcboy,1,40,48
61,mcboy,1,41,48
62,mcboy,2,43,48
63,rdeep,2,43,50
64,rdeep,1,43,51
65,mcboy,1,44,51
66,mcboy,2,46,51
67,mcboy,3,49,51
68,rdeep,2,49,53
69,rdeep,2,49,55
70,rdeep,2,49,57
71,mcboy,2,51,57
72,mcboy,1,52,57
73,rdeep,1,52,58
74,mcboy,1,53,58
75,mcboy,2,55,58
76,mcboy,1,56,58
77,mcboy,1,57,58
78,mcboy,1,58,58
79,mcboy,2,60,58
80,mcboy,2,62,58
81,mcboy,1,63,58
82,mcboy,1,64,58
83,rdeep,2,64,60
84,mcboy,2,66,60
85,mcboy,1,67,60
86,mcboy,1,68,60
87,rdeep,1,68,61
88,rdeep,2,68,63
89,rdeep,1,68,64
90,mcboy,1,69,64
91,mcboy,2,71,64
92,mcboy,2,73,64
93,rdeep,3,73,67
94,rdeep,2,73,69
95,mcboy,3,76,69
96,rdeep,2,76,71
97,mcboy,1,77,71
98,rdeep,2,77,73
99,mcboy,1,78,73
100,rdeep,3,78,76
