Game no.,Winner,Score,mcboy,rdeep
1000,mcboy,1,1,0
1000,mcboy,3,4,0
1000,mcboy,1,5,0
1000,mcboy,1,6,0
1000,mcboy,1,7,0
1000,mcboy,1,8,0
1000,rdeep,1,8,1
1000,mcboy,2,10,1
1000,rdeep,1,10,2
1000,rdeep,1,10,3
1000,rdeep,1,10,4
1000,rdeep,2,10,6
1000,mcboy,2,12,6
1000,mcboy,1,13,6
1000,mcboy,2,15,6
1000,mcboy,1,16,6
1000,rdeep,1,16,7
1000,mcboy,2,18,7
1000,mcboy,2,20,7
1000,mcboy,2,22,7
1000,mcboy,1,23,7
1000,mcboy,1,24,7
1000,mcboy,3,27,7
1000,rdeep,2,27,9
1000,mcboy,1,28,9
1000,mcboy,1,29,9
1000,mcboy,1,30,9
1000,rdeep,2,30,11
1000,rdeep,3,30,14
1000,mcboy,1,31,14
1000,mcboy,1,32,14
1000,rdeep,2,32,16
1000,rdeep,1,32,17
1000,mcboy,2,34,17
1000,mcboy,1,35,17
1000,rdeep,2,35,19
1000,rdeep,1,35,20
1000,rdeep,1,35,21
1000,mcboy,1,36,21
1000,mcboy,1,37,21
1000,rdeep,1,37,22
1000,mcboy,1,38,22
1000,rdeep,2,38,24
1000,mcboy,1,39,24
1000,mcboy,1,40,24
1000,mcboy,2,42,24
1000,mcboy,2,44,24
1000,mcboy,1,45,24
1000,mcboy,2,47,24
1000,rdeep,1,47,25
1000,rdeep,1,47,26
1000,rdeep,2,47,28
1000,mcboy,1,48,28
1000,mcboy,1,49,28
1000,mcboy,1,50,28
1000,rdeep,1,50,29
1000,rdeep,1,50,30
1000,rdeep,1,50,31
1000,mcboy,1,51,31
1000,mcboy,2,53,31
1000,mcboy,1,54,31
1000,mcboy,2,56,31
1000,mcboy,2,58,31
1000,rdeep,1,58,32
1000,mcboy,1,59,32
1000,mcboy,1,60,32
1000,mcboy,1,61,32
1000,rdeep,2,61,34
1000,mcboy,3,64,34
1000,mcboy,3,67,34
1000,mcboy,1,68,34
1000,rdeep,2,68,36
1000,rdeep,1,68,37
1000,mcboy,2,70,37
1000,mcboy,1,71,37
1000,mcboy,1,72,37
1000,rdeep,1,72,38
1000,mcboy,1,73,38
1000,rdeep,2,73,40
1000,mcboy,1,74,40
1000,mcboy,1,75,40
1000,mcboy,1,76,40
1000,mcboy,1,77,40
1000,mcboy,1,78,40
1000,mcboy,1,79,40
1000,mcboy,3,82,40
1000,mcboy,1,83,40
1000,mcboy,2,85,40
1000,mcboy,2,87,40
1000,mcboy,1,88,40
1000,mcboy,2,90,40
1000,mcboy,1,91,40
1000,mcboy,3,94,40
1000,mcboy,2,96,40
1000,mcboy,3,99,40
1000,mcboy,1,100,40
1000,mcboy,1,101,40
1000,rdeep,1,101,41
1000,mcboy,1,102,41
1000,mcboy,2,104,41
1000,mcboy,2,106,41
1000,mcboy,1,107,41
1000,mcboy,1,108,41
1000,rdeep,1,108,42
1000,mcboy,3,111,42
1000,mcboy,3,114,42
1000,mcboy,1,115,42
1000,rdeep,2,115,44
1000,mcboy,2,117,44
1000,rdeep,1,117,45
1000,mcboy,1,118,45
1000,mcboy,2,120,45
1000,rdeep,3,120,48
1000,mcboy,1,121,48
1000,rdeep,1,121,49
1000,mcboy,1,122,49
1000,rdeep,1,122,50
1000,rdeep,1,122,51
1000,mcboy,1,123,51
1000,mcboy,1,124,51
1000,mcboy,1,125,51
1000,mcboy,1,126,51
1000,mcboy,1,127,51
1000,mcboy,2,129,51
1000,mcboy,2,131,51
1000,mcboy,2,133,51
1000,mcboy,2,135,51
1000,mcboy,1,136,51
1000,rdeep,1,136,52
1000,mcboy,1,137,52
1000,mcboy,1,138,52
1000,mcboy,1,139,52
1000,mcboy,1,140,52
1000,mcboy,3,143,52
1000,mcboy,1,144,52
1000,rdeep,2,144,54
1000,rdeep,1,144,55
1000,mcboy,1,145,55
1000,mcboy,1,146,55
1000,mcboy,1,147,55
1000,mcboy,3,150,55
1000,mcboy,3,153,55
1000,mcboy,3,156,55
1000,mcboy,1,157,55
1000,rdeep,1,157,56
1000,mcboy,1,158,56
1000,mcboy,1,159,56
1000,mcboy,1,160,56
1000,rdeep,3,160,59
1000,mcboy,2,162,59
1000,mcboy,2,164,59
1000,mcboy,2,166,59
1000,rdeep,2,166,61
1000,rdeep,1,166,62
1000,mcboy,2,168,62
1000,mcboy,1,169,62
1000,mcboy,1,170,62
1000,mcboy,1,171,62
1000,rdeep,2,171,64
1000,mcboy,2,173,64
1000,rdeep,2,173,66
1000,rdeep,2,173,68
1000,mcboy,2,175,68
1000,mcboy,1,176,68
1000,mcboy,2,178,68
1000,rdeep,1,178,69
1000,rdeep,1,178,70
1000,rdeep,2,178,72
1000,rdeep,1,178,73
1000,mcboy,1,179,73
1000,mcboy,2,181,73
1000,mcboy,1,182,73
1000,mcboy,1,183,73
1000,rdeep,2,183,75
1000,mcboy,1,184,75
1000,rdeep,2,184,77
1000,mcboy,1,185,77
1000,mcboy,1,186,77
1000,mcboy,2,188,77
1000,mcboy,1,189,77
1000,mcboy,3,192,77
1000,rdeep,2,192,79
1000,mcboy,2,194,79
1000,mcboy,2,196,79
1000,rdeep,2,196,81
1000,mcboy,1,197,81
1000,rdeep,2,197,83
1000,mcboy,1,198,83
1000,rdeep,1,198,84
1000,mcboy,1,199,84
1000,rdeep,1,199,85
1000,mcboy,1,200,85
1000,rdeep,2,200,87
1000,mcboy,3,203,87
1000,mcboy,1,204,87
1000,rdeep,1,204,88
1000,mcboy,1,205,88
1000,mcboy,2,207,88
1000,mcboy,1,208,88
1000,mcboy,2,210,88
1000,rdeep,2,210,90
1000,mcboy,1,211,90
1000,mcboy,1,212,90
1000,rdeep,2,212,92
1000,mcboy,2,214,92
1000,mcboy,1,215,92
1000,mcboy,1,216,92
1000,rdeep,2,216,94
1000,mcboy,1,217,94
1000,rdeep,1,217,95
1000,rdeep,1,217,96
1000,mcboy,2,219,96
1000,rdeep,1,219,97
1000,mcboy,1,220,97
1000,mcboy,1,221,97
1000,mcboy,1,222,97
1000,rdeep,1,222,98
1000,rdeep,1,222,99
1000,rdeep,1,222,100
1000,rdeep,1,222,101
1000,rdeep,3,222,104
1000,rdeep,2,222,106
1000,mcboy,3,225,106
1000,rdeep,1,225,107
1000,mcboy,1,226,107
1000,mcboy,3,229,107
1000,mcboy,1,230,107
1000,rdeep,1,230,108
1000,rdeep,2,230,110
1000,mcboy,1,231,110
1000,mcboy,1,232,110
1000,mcboy,1,233,110
1000,mcboy,2,235,110
1000,rdeep,2,235,112
1000,mcboy,1,236,112
1000,rdeep,2,236,114
1000,mcboy,1,237,114
1000,mcboy,1,238,114
1000,rdeep,1,238,115
1000,mcboy,1,239,115
1000,rdeep,1,239,116
1000,rdeep,2,239,118
1000,rdeep,1,239,119
1000,rdeep,2,239,121
1000,rdeep,2,239,123
1000,mcboy,1,240,123
1000,mcboy,1,241,123
1000,mcboy,2,243,123
1000,rdeep,2,243,125
1000,mcboy,1,244,125
1000,mcboy,1,245,125
1000,rdeep,1,245,126
1000,mcboy,1,246,126
1000,mcboy,1,247,126
1000,mcboy,1,248,126
1000,mcboy,1,249,126
1000,rdeep,1,249,127
1000,mcboy,2,251,127
1000,rdeep,1,251,128
1000,mcboy,1,252,128
1000,rdeep,1,252,129
1000,mcboy,1,253,129
1000,mcboy,1,254,129
1000,rdeep,3,254,132
1000,rdeep,2,254,134
1000,mcboy,1,255,134
1000,mcboy,1,256,134
1000,mcboy,1,257,134
1000,rdeep,2,257,136
1000,rdeep,2,257,138
1000,mcboy,1,258,138
1000,rdeep,1,258,139
1000,mcboy,1,259,139
1000,rdeep,1,259,140
1000,mcboy,2,261,140
1000,mcboy,3,264,140
1000,mcboy,3,267,140
1000,mcboy,1,268,140
1000,rdeep,1,268,141
1000,mcboy,2,270,141
1000,mcboy,1,271,141
1000,rdeep,1,271,142
1000,rdeep,1,271,143
1000,mcboy,2,273,143
1000,mcboy,2,275,143
1000,rdeep,1,275,144
1000,mcboy,2,277,144
1000,rdeep,2,277,146
1000,rdeep,1,277,147
1000,mcboy,1,278,147
1000,mcboy,1,279,147
1000,rdeep,1,279,148
1000,mcboy,2,281,148
1000,mcboy,1,282,148
1000,rdeep,2,282,150
1000,rdeep,2,282,152
1000,mcboy,2,284,152
1000,mcboy,1,285,152
1000,rdeep,1,285,153
1000,mcboy,1,286,153
1000,rdeep,2,286,155
1000,mcboy,1,287,155
1000,mcboy,1,288,155
1000,rdeep,2,288,157
1000,mcboy,1,289,157
1000,mcboy,3,292,157
1000,mcboy,1,293,157
1000,mcboy,1,294,157
1000,mcboy,1,295,157
1000,mcboy,2,297,157
1000,rdeep,1,297,158
1000,mcboy,1,298,158
1000,mcboy,2,300,158
1000,mcboy,1,301,158
1000,mcboy,3,304,158
1000,mcboy,1,305,158
1000,mcboy,1,306,158
1000,mcboy,1,307,158
1000,mcboy,2,309,158
1000,mcboy,1,310,158
1000,mcboy,1,311,158
1000,mcboy,1,312,158
1000,mcboy,1,313,158
1000,mcboy,2,315,158
1000,mcboy,2,317,158
1000,mcboy,1,318,158
1000,rdeep,1,318,159
1000,mcboy,2,320,159
1000,mcboy,1,321,159
1000,mcboy,2,323,159
1000,mcboy,2,325,159
1000,mcboy,1,326,159
1000,mcboy,2,328,159
1000,mcboy,1,329,159
1000,mcboy,3,332,159
1000,rdeep,2,332,161
1000,mcboy,1,333,161
1000,mcboy,1,334,161
1000,mcboy,1,335,161
1000,mcboy,1,336,161
1000,rdeep,1,336,162
1000,rdeep,2,336,164
