Game no.,Winner,Score,mcboy,rdeep
1,mcboy,2,2,0
2,rdeep,2,2,2
3,rdeep,1,2,3
4,mcboy,2,4,3
5,mcboy,1,5,3
6,mcboy,2,7,3
7,mcboy,1,8,3
8,mcboy,1,9,3
9,mcboy,2,11,3
10,mcboy,2,13,3
11,rdeep,2,13,5
12,mcboy,2,15,5
13,mcboy,2,17,5
14,rdeep,1,17,6
15,rdeep,1,17,7
16,rdeep,1,17,8
17,mcboy,3,20,8
18,mcboy,1,21,8
19,mcboy,1,22,8
20,mcboy,1,23,8
21,mcboy,3,26,8
22,rdeep,2,26,10
23,mcboy,1,27,10
24,mcboy,1,28,10
25,rdeep,3,28,13
26,rdeep,1,28,14
27,rdeep,2,28,16
28,mcboy,1,29,16
29,mcboy,1,30,16
30,mcboy,1,31,16
31,mcboy,2,33,16
32,mcboy,2,35,16
33,mcboy,1,36,16
34,rdeep,3,36,19
35,mcboy,1,37,19
36,mcboy,2,39,19
37,rdeep,1,39,20
38,mcboy,1,40,20
39,rdeep,2,40,22
40,rdeep,1,40,23
41,mcboy,2,42,23
42,mcboy,2,44,23
43,mcboy,1,45,23
44,mcboy,1,46,23
45,mcboy,1,47,23
46,mcboy,1,48,23
47,rdeep,1,48,24
48,mcboy,1,49,24
49,mcboy,1,50,24
50,mcboy,1,51,24
51,mcboy,3,54,24
52,mcboy,1,55,24
53,rdeep,1,55,25
54,mcboy,3,58,25
55,mcboy,1,59,25
56,rdeep,2,59,27
57,mcboy,1,60,27
58,rdeep,2,60,29
59,rdeep,2,60,31
60,rdeep,1,60,32
61,rdeep,2,60,34
62,rdeep,2,60,36
63,rdeep,2,60,38
64,mcboy,2,62,38
65,mcboy,1,63,38
66,mcboy,2,65,38
67,rdeep,1,65,39
68,mcboy,1,66,39
69,rdeep,1,66,40
70,mcboy,2,68,40
71,rdeep,2,68,42
72,rdeep,2,68,44
73,rdeep,2,68,46
74,mcboy,2,70,46
75,mcboy,1,71,46
76,rdeep,1,71,47
77,mcboy,1,72,47
78,mcboy,1,73,47
79,rdeep,1,73,48
80,mcboy,1,74,48
81,rdeep,1,74,49
82,mcboy,2,76,49
83,mcboy,1,77,49
84,mcboy,1,78,49
85,mcboy,1,79,49
86,mcboy,2,81,49
87,mcboy,2,83,49
88,mcboy,2,85,49
89,mcboy,1,86,49
90,mcboy,1,87,49
91,mcboy,2,89,49
92,mcboy,2,91,49
93,mcboy,2,93,49
94,mcboy,1,94,49
95,rdeep,2,94,51
96,mcboy,1,95,51
97,mcboy,1,96,51
98,mcboy,1,97,51
99,mcboy,1,98,51
100,rdeep,3,98,54
101,rdeep,1,98,55
102,rdeep,1,98,56
103,mcboy,1,99,56
