Game no.,Winner,Score,mcboy,rdeep
100,mcboy,1,1,0
100,mcboy,1,2,0
100,mcboy,1,3,0
100,mcboy,1,4,0
100,mcboy,1,5,0
100,rdeep,2,5,2
100,mcboy,1,6,2
100,rdeep,2,6,4
100,mcboy,1,7,4
100,mcboy,1,8,4
100,rdeep,3,8,7
100,mcboy,1,9,7
100,mcboy,2,11,7
100,rdeep,3,11,10
100,rdeep,1,11,11
100,mcboy,1,12,11
100,mcboy,2,14,11
100,mcboy,1,15,11
100,mcboy,1,16,11
100,rdeep,2,16,13
100,mcboy,1,17,13
100,mcboy,2,19,13
100,rdeep,3,19,16
100,rdeep,3,19,19
100,mcboy,2,21,19
100,mcboy,1,22,19
100,mcboy,1,23,19
100,mcboy,1,24,19
100,mcboy,2,26,19
100,mcboy,1,27,19
100,mcboy,2,29,19
100,mcboy,1,30,19
100,mcboy,1,31,19
100,mcboy,2,33,19
100,mcboy,2,35,19
100,mcboy,1,36,19
100,mcboy,2,38,19
100,mcboy,2,40,19
100,rdeep,1,40,20
100,mcboy,1,41,20
100,mcboy,1,42,20
100,mcboy,1,43,20
100,rdeep,3,43,23
100,mcboy,2,45,23
100,rdeep,3,45,26
100,mcboy,1,46,26
100,mcboy,1,47,26
100,rdeep,2,47,28
100,mcboy,1,48,28
100,mcboy,2,50,28
100,mcboy,2,52,28
100,rdeep,2,52,30
100,mcboy,1,53,30
100,rdeep,1,53,31
100,mcboy,2,55,31
100,mcboy,1,56,31
100,rdeep,2,56,33
100,mcboy,1,57,33
100,mcboy,1,58,33
100,rdeep,1,58,34
100,rdeep,2,58,36
100,mcboy,1,59,36
100,mcboy,1,60,36
100,mcboy,2,62,36
100,mcboy,1,63,36
100,mcboy,1,64,36
100,mcboy,2,66,36
100,mcboy,1,67,36
100,mcboy,1,68,36
100,rdeep,1,68,37
100,mcboy,1,69,37
100,mcboy,2,71,37
100,mcboy,2,73,37
100,mcboy,1,74,37
100,mcboy,1,75,37
100,mcboy,1,76,37
100,mcboy,1,77,37
100,mcboy,1,78,37
100,mcboy,2,80,37
100,mcboy,2,82,37
100,mcboy,2,84,37
100,mcboy,1,85,37
100,mcboy,2,87,37
100,mcboy,2,89,37
100,mcboy,1,90,37
100,mcboy,1,91,37
100,rdeep,1,91,38
100,mcboy,1,92,38
100,rdeep,1,92,39
100,mcboy,1,93,39
100,rdeep,1,93,40
100,mcboy,2,95,40
100,mcboy,1,96,40
100,mcboy,2,98,40
100,mcboy,1,99,40
100,mcboy,2,101,40
100,mcboy,1,102,40
100,mcboy,1,103,40
100,mcboy,1,104,40
100,rdeep,2,104,42
