Game no.,Winner,Score,mcboy,rdeep
100,mcboy,1,1,0
100,mcboy,1,2,0
100,mcboy,1,3,0
100,mcboy,1,4,0
100,mcboy,1,5,0
100,rdeep,2,5,2
100,rdeep,2,5,4
100,rdeep,2,5,6
100,mcboy,1,6,6
100,mcboy,2,8,6
100,mcboy,2,10,6
100,mcboy,1,11,6
100,mcboy,1,12,6
100,mcboy,2,14,6
100,rdeep,2,14,8
100,mcboy,1,15,8
100,mcboy,1,16,8
100,mcboy,1,17,8
100,mcboy,1,18,8
100,rdeep,1,18,9
100,mcboy,1,19,9
100,mcboy,2,21,9
100,rdeep,2,21,11
100,mcboy,1,22,11
100,mcboy,1,23,11
100,rdeep,2,23,13
100,mcboy,2,25,13
100,mcboy,1,26,13
100,rdeep,1,26,14
100,mcboy,1,27,14
100,mcboy,1,28,14
100,mcboy,1,29,14
100,mcboy,1,30,14
100,mcboy,2,32,14
100,mcboy,1,33,14
100,mcboy,1,34,14
100,rdeep,1,34,15
100,mcboy,1,35,15
100,mcboy,1,36,15
100,mcboy,1,37,15
100,rdeep,2,37,17
100,mcboy,1,38,17
100,rdeep,2,38,19
100,mcboy,1,39,19
100,rdeep,2,39,21
100,rdeep,2,39,23
100,rdeep,1,39,24
100,mcboy,1,40,24
100,mcboy,1,41,24
100,mcboy,2,43,24
100,mcboy,2,45,24
100,rdeep,1,45,25
100,mcboy,1,46,25
100,mcboy,2,48,25
100,mcboy,2,50,25
100,mcboy,1,51,25
100,mcboy,1,52,25
100,mcboy,2,54,25
100,mcboy,1,55,25
100,rdeep,2,55,27
100,mcboy,1,56,27
100,mcboy,2,58,27
100,mcboy,1,59,27
100,mcboy,2,61,27
100,mcboy,2,63,27
100,mcboy,2,65,27
100,mcboy,2,67,27
100,mcboy,2,69,27
100,rdeep,2,69,29
100,rdeep,2,69,31
100,rdeep,1,69,32
100,mcboy,1,70,32
100,mcboy,2,72,32
100,rdeep,2,72,34
100,mcboy,1,73,34
100,rdeep,2,73,36
100,rdeep,2,73,38
100,mcboy,1,74,38
100,mcboy,2,76,38
100,mcboy,1,77,38
100,mcboy,2,79,38
100,mcboy,2,81,38
100,mcboy,1,82,38
100,mcboy,1,83,38
100,mcboy,2,85,38
100,mcboy,1,86,38
100,mcboy,1,87,38
100,mcboy,1,88,38
100,mcboy,1,89,38
100,mcboy,1,90,38
100,mcboy,1,91,38
100,mcboy,1,92,38
100,rdeep,1,92,39
100,mcboy,2,94,39
100,mcboy,1,95,39
100,mcboy,1,96,39
100,mcboy,1,97,39
100,mcboy,1,98,39
100,mcboy,1,99,39
100,rdeep,2,99,41
