Game no.,Winner,Score,mcboy,rdeep
100,mcboy,1,1,0
100,mcboy,1,2,0
100,rdeep,2,2,2
100,mcboy,2,4,2
100,rdeep,1,4,3
100,mcboy,1,5,3
100,mcboy,1,6,3
100,rdeep,2,6,5
100,mcboy,1,7,5
100,mcboy,2,9,5
100,rdeep,3,9,8
100,rdeep,3,9,11
100,mcboy,2,11,11
100,mcboy,1,12,11
100,mcboy,1,13,11
100,mcboy,2,15,11
100,mcboy,1,16,11
100,mcboy,1,17,11
100,mcboy,2,19,11
100,mcboy,1,20,11
100,mcboy,1,21,11
100,mcboy,1,22,11
100,rdeep,2,22,13
100,mcboy,2,24,13
100,rdeep,1,24,14
100,mcboy,1,25,14
100,mcboy,1,26,14
100,rdeep,1,26,15
100,mcboy,1,27,15
100,mcboy,1,28,15
100,rdeep,1,28,16
100,mcboy,1,29,16
100,mcboy,1,30,16
100,mcboy,1,31,16
100,mcboy,2,33,16
100,mcboy,2,35,16
100,mcboy,2,37,16
100,mcboy,1,38,16
100,mcboy,2,40,16
100,mcboy,1,41,16
100,mcboy,1,42,16
100,mcboy,1,43,16
100,rdeep,1,43,17
100,rdeep,2,43,19
100,rdeep,2,43,21
100,mcboy,1,44,21
100,mcboy,2,46,21
100,mcboy,1,47,21
100,mcboy,1,48,21
100,mcboy,2,50,21
100,mcboy,1,51,21
100,mcboy,2,53,21
100,mcboy,2,55,21
100,mcboy,2,57,21
100,mcboy,1,58,21
100,mcboy,1,59,21
100,mcboy,1,60,21
100,mcboy,1,61,21
100,mcboy,2,63,21
100,mcboy,1,64,21
100,mcboy,1,65,21
100,mcboy,2,67,21
100,rdeep,2,67,23
100,mcboy,2,69,23
100,mcboy,2,71,23
100,mcboy,2,73,23
100,mcboy,1,74,23
100,mcboy,1,75,23
100,mcboy,1,76,23
100,mcboy,1,77,23
100,mcboy,1,78,23
100,mcboy,1,79,23
100,rdeep,1,79,24
100,rdeep,1,79,25
100,rdeep,2,79,27
100,mcboy,1,80,27
100,rdeep,2,80,29
100,mcboy,2,82,29
100,mcboy,1,83,29
100,mcboy,1,84,29
100,mcboy,2,86,29
100,mcboy,1,87,29
100,mcboy,1,88,29
100,rdeep,1,88,30
100,mcboy,2,90,30
100,mcboy,2,92,30
100,rdeep,1,92,31
100,rdeep,1,92,32
100,rdeep,2,92,34
100,mcboy,2,94,34
100,mcboy,1,95,34
100,mcboy,2,97,34
100,rdeep,2,97,36
100,rdeep,2,97,38
100,mcboy,1,98,38
100,mcboy,2,100,38
100,rdeep,1,100,39
100,rdeep,2,100,41
100,mcboy,1,101,41
100,mcboy,1,102,41
