Game no.,Winner,Score,mcboy,rdeep
1,mcboy,1,1,0
2,mcboy,2,3,0
3,mcboy,2,5,0
4,mcboy,2,7,0
5,rdeep,1,7,1
6,rdeep,2,7,3
7,mcboy,1,8,3
8,mcboy,1,9,3
9,mcboy,1,10,3
10,mcboy,3,13,3
11,mcboy,2,15,3
12,mcboy,1,16,3
13,mcboy,1,17,3
14,mcboy,1,18,3
15,mcboy,1,19,3
16,mcboy,1,20,3
17,mcboy,2,22,3
18,rdeep,3,22,6
19,rdeep,1,22,7
20,mcboy,1,23,7
21,rdeep,2,23,9
22,mcboy,1,24,9
23,mcboy,1,25,9
24,mcboy,3,28,9
25,mcboy,1,29,9
26,mcboy,3,32,9
27,mcboy,2,34,9
28,rdeep,1,34,10
29,mcboy,1,35,10
30,mcboy,1,36,10
31,rdeep,3,36,13
32,mcboy,2,38,13
33,mcboy,1,39,13
34,mcboy,1,40,13
35,mcboy,2,42,13
36,rdeep,1,42,14
37,mcboy,2,44,14
38,mcboy,1,45,14
39,mcboy,3,48,14
40,rdeep,1,48,15
41,rdeep,1,48,16
42,mcboy,2,50,16
43,mcboy,1,51,16
44,mcboy,1,52,16
45,mcboy,1,53,16
46,mcboy,2,55,16
47,rdeep,2,55,18
48,rdeep,1,55,19
49,rdeep,1,55,20
50,mcboy,1,56,20
51,mcboy,1,57,20
52,mcboy,1,58,20
53,rdeep,2,58,22
54,mcboy,2,60,22
55,mcboy,1,61,22
56,rdeep,2,61,24
57,rdeep,1,61,25
58,rdeep,1,61,26
59,mcboy,3,64,26
60,mcboy,1,65,26
61,mcboy,1,66,26
62,mcboy,1,67,26
63,mcboy,2,69,26
64,rdeep,1,69,27
65,mcboy,3,72,27
66,rdeep,3,72,30
67,mcboy,2,74,30
68,mcboy,1,75,30
69,mcboy,1,76,30
70,rdeep,2,76,32
71,mcboy,1,77,32
72,mcboy,2,79,32
73,mcboy,1,80,32
74,mcboy,1,81,32
75,mcboy,1,82,32
76,mcboy,1,83,32
77,mcboy,1,84,32
78,rdeep,1,84,33
79,mcboy,1,85,33
80,mcboy,3,88,33
81,mcboy,1,89,33
82,rdeep,1,89,34
83,mcboy,3,92,34
84,rdeep,3,92,37
85,rdeep,2,92,39
86,rdeep,2,92,41
87,mcboy,1,93,41
88,rdeep,3,93,44
89,mcboy,1,94,44
90,mcboy,1,95,44
91,mcboy,1,96,44
92,mcboy,1,97,44
93,rdeep,1,97,45
94,rdeep,1,97,46
95,mcboy,1,98,46
96,rdeep,1,98,47
97,mcboy,1,99,47
98,mcboy,1,100,47
99,rdeep,2,100,49
100,mcboy,1,101,49
