Game no.,Winner,Score,mcboy,rdeep
1,mcboy,1,1,0
2,mcboy,1,2,0
3,mcboy,1,3,0
4,rdeep,1,3,1
5,mcboy,1,4,1
6,mcboy,2,6,1
7,mcboy,1,7,1
8,mcboy,1,8,1
9,rdeep,2,8,3
10,mcboy,1,9,3
11,mcboy,1,10,3
12,mcboy,1,11,3
13,rdeep,1,11,4
14,mcboy,2,13,4
15,mcboy,1,14,4
16,mcboy,1,15,4
17,rdeep,2,15,6
18,rdeep,2,15,8
19,mcboy,2,17,8
20,rdeep,1,17,9
21,rdeep,2,17,11
22,rdeep,3,17,14
23,mcboy,2,19,14
24,rdeep,1,19,15
25,rdeep,1,19,16
26,mcboy,1,20,16
27,mcboy,1,21,16
28,rdeep,2,21,18
29,mcboy,1,22,18
30,mcboy,1,23,18
31,mcboy,1,24,18
32,mcboy,1,25,18
33,mcboy,1,26,18
34,rdeep,2,26,20
35,rdeep,1,26,21
36,rdeep,3,26,24
37,mcboy,1,27,24
38,mcboy,1,28,24
39,mcboy,1,29,24
40,mcboy,2,31,24
41,mcboy,2,33,24
42,mcboy,1,34,24
43,rdeep,1,34,25
44,mcboy,1,35,25
45,mcboy,1,36,25
46,mcboy,1,37,25
47,mcboy,1,38,25
48,rdeep,2,38,27
49,mcboy,1,39,27
50,mcboy,1,40,27
51,mcboy,1,41,27
52,mcboy,1,42,27
53,rdeep,2,42,29
54,rdeep,1,42,30
55,mcboy,2,44,30
56,rdeep,1,44,31
57,mcboy,1,45,31
58,mcboy,1,46,31
59,mcboy,1,47,31
60,rdeep,1,47,32
61,rdeep,2,47,34
62,mcboy,1,48,34
63,mcboy,1,49,34
64,rdeep,1,49,35
65,mcboy,1,50,35
66,mcboy,1,51,35
67,mcboy,1,52,35
68,mcboy,1,53,35
69,mcboy,2,55,35
70,rdeep,2,55,37
71,rdeep,1,55,38
72,mcboy,1,56,38
73,mcboy,2,58,38
74,rdeep,2,58,40
75,mcboy,1,59,40
76,mcboy,1,60,40
77,rdeep,2,60,42
78,rdeep,3,60,45
79,mcboy,1,61,45
80,rdeep,1,61,46
81,mcboy,2,63,46
82,mcboy,2,65,46
83,rdeep,1,65,47
84,rdeep,2,65,49
85,rdeep,2,65,51
86,mcboy,1,66,51
87,mcboy,1,67,51
88,mcboy,1,68,51
89,mcboy,1,69,51
90,rdeep,3,69,54
91,mcboy,1,70,54
92,mcboy,1,71,54
93,mcboy,2,73,54
94,rdeep,1,73,55
95,mcboy,1,74,55
96,mcboy,1,75,55
97,mcboy,1,76,55
98,mcboy,1,77,55
99,mcboy,1,78,55
100,mcboy,1,79,55
