Game no.,Winner,Score,mcboy,rdeep
1,mcboy,2,2,0
2,mcboy,2,4,0
3,mcboy,1,5,0
4,rdeep,2,5,2
5,mcboy,1,6,2
6,mcboy,1,7,2
7,mcboy,1,8,2
8,mcboy,1,9,2
9,mcboy,2,11,2
10,mcboy,1,12,2
11,mcboy,1,13,2
12,mcboy,1,14,2
13,rdeep,1,14,3
14,mcboy,1,15,3
15,rdeep,1,15,4
16,mcboy,2,17,4
17,rdeep,2,17,6
18,mcboy,2,19,6
19,mcboy,1,20,6
20,mcboy,1,21,6
21,mcboy,2,23,6
22,mcboy,2,25,6
23,mcboy,2,27,6
24,mcboy,1,28,6
25,mcboy,1,29,6
26,mcboy,1,30,6
27,rdeep,2,30,8
28,mcboy,2,32,8
29,mcboy,2,34,8
30,mcboy,1,35,8
31,mcboy,1,36,8
32,rdeep,1,36,9
33,mcboy,1,37,9
34,rdeep,2,37,11
35,rdeep,1,37,12
36,mcboy,1,38,12
37,rdeep,1,38,13
38,mcboy,1,39,13
39,rdeep,1,39,14
40,mcboy,2,41,14
41,rdeep,2,41,16
42,mcboy,2,43,16
43,rdeep,1,43,17
44,rdeep,3,43,20
45,mcboy,2,45,20
46,mcboy,1,46,20
47,mcboy,2,48,20
48,rdeep,1,48,21
49,mcboy,3,51,21
50,mcboy,2,53,21
51,rdeep,2,53,23
52,rdeep,2,53,25
53,rdeep,2,53,27
54,mcboy,1,54,27
55,rdeep,3,54,30
56,mcboy,2,56,30
57,mcboy,3,59,30
58,rdeep,1,59,31
59,rdeep,1,59,32
60,rdeep,3,59,35
61,rdeep,2,59,37
62,rdeep,1,59,38
63,rdeep,2,59,40
64,rdeep,1,59,41
65,rdeep,3,59,44
66,rdeep,1,59,45
67,mcboy,1,60,45
68,mcboy,1,61,45
69,mcboy,1,62,45
70,mcboy,1,63,45
71,rdeep,1,63,46
72,mcboy,2,65,46
73,mcboy,2,67,46
74,mcboy,1,68,46
75,mcboy,1,69,46
76,mcboy,2,71,46
77,rdeep,1,71,47
78,mcboy,1,72,47
79,mcboy,1,73,47
80,mcboy,2,75,47
81,mcboy,2,77,47
82,mcboy,2,79,47
83,mcboy,2,81,47
84,mcboy,1,82,47
85,rdeep,2,82,49
86,mcboy,3,85,49
87,mcboy,1,86,49
88,rdeep,2,86,51
89,mcboy,2,88,51
90,rdeep,2,88,53
91,mcboy,1,89,53
92,mcboy,2,91,53
93,rdeep,1,91,54
94,mcboy,1,92,54
95,mcboy,1,93,54
96,rdeep,3,93,57
97,mcboy,1,94,57
98,mcboy,1,95,57
99,rdeep,2,95,59
100,mcboy,1,96,59
