Game no.,Winner,Score,mcboy,rdeep
1,rdeep,2,0,2
2,mcboy,2,2,2
3,mcboy,1,3,2
4,rdeep,1,3,3
5,mcboy,2,5,3
6,mcboy,1,6,3
7,mcboy,2,8,3
8,mcboy,2,10,3
9,mcboy,2,12,3
10,mcboy,3,15,3
11,mcboy,1,16,3
12,mcboy,1,17,3
13,mcboy,1,18,3
14,mcboy,1,19,3
15,mcboy,1,20,3
16,mcboy,1,21,3
17,mcboy,1,22,3
18,mcboy,2,24,3
19,mcboy,1,25,3
20,mcboy,1,26,3
21,rdeep,2,26,5
22,mcboy,2,28,5
23,rdeep,1,28,6
24,mcboy,1,29,6
25,mcboy,1,30,6
26,mcboy,1,31,6
27,mcboy,1,32,6
28,mcboy,2,34,6
29,mcboy,1,35,6
30,mcboy,1,36,6
31,mcboy,2,38,6
32,mcboy,1,39,6
33,rdeep,2,39,8
34,rdeep,1,39,9
35,mcboy,1,40,9
36,rdeep,2,40,11
37,mcboy,2,42,11
38,rdeep,1,42,12
39,mcboy,1,43,12
40,mcboy,1,44,12
41,mcboy,2,46,12
42,rdeep,1,46,13
43,rdeep,1,46,14
44,mcboy,2,48,14
45,mcboy,2,50,14
46,mcboy,1,51,14
47,mcboy,1,52,14
48,mcboy,1,53,14
49,mcboy,1,54,14
50,mcboy,1,55,14
51,rdeep,2,55,16
52,rdeep,2,55,18
53,mcboy,2,57,18
54,mcboy,2,59,18
55,mcboy,1,60,18
56,rdeep,2,60,20
57,mcboy,2,62,20
58,rdeep,1,62,21
59,mcboy,2,64,21
60,rdeep,2,64,23
61,rdeep,1,64,24
62,mcboy,1,65,24
63,rdeep,2,65,26
64,mcboy,1,66,26
65,mcboy,1,67,26
66,mcboy,2,69,26
67,mcboy,1,70,26
68,mcboy,1,71,26
69,rdeep,1,71,27
70,rdeep,1,71,28
71,rdeep,1,71,29
72,mcboy,2,73,29
73,mcboy,1,74,29
74,rdeep,2,74,31
75,mcboy,1,75,31
76,rdeep,1,75,32
77,mcboy,1,76,32
78,mcboy,1,77,32
79,mcboy,1,78,32
80,mcboy,1,79,32
81,mcboy,1,80,32
82,mcboy,1,81,32
83,mcboy,1,82,32
84,mcboy,1,83,32
85,mcboy,1,84,32
86,rdeep,2,84,34
87,mcboy,2,86,34
88,mcboy,1,87,34
89,rdeep,2,87,36
90,mcboy,3,90,36
91,rdeep,1,90,37
92,rdeep,1,90,38
93,mcboy,2,92,38
94,mcboy,1,93,38
95,mcboy,1,94,38
96,mcboy,2,96,38
97,rdeep,2,96,40
98,mcboy,1,97,40
99,mcboy,2,99,40
100,mcboy,2,101,40
