Game no.,Winner,Score,mcboy,rdeep
1,mcboy,1,1,0
2,rdeep,1,1,1
3,mcboy,1,2,1
4,mcboy,1,3,1
5,mcboy,1,4,1
6,mcboy,1,5,1
7,mcboy,1,6,1
8,mcboy,1,7,1
9,mcboy,1,8,1
10,mcboy,2,10,1
11,mcboy,1,11,1
12,mcboy,1,12,1
13,mcboy,1,13,1
14,rdeep,1,13,2
15,mcboy,1,14,2
16,rdeep,1,14,3
17,rdeep,1,14,4
18,mcboy,2,16,4
19,mcboy,1,17,4
20,mcboy,1,18,4
21,rdeep,1,18,5
22,mcboy,2,20,5
23,rdeep,2,20,7
24,rdeep,2,20,9
25,mcboy,1,21,9
26,mcboy,2,23,9
27,mcboy,2,25,9
28,mcboy,1,26,9
29,mcboy,2,28,9
30,mcboy,1,29,9
31,mcboy,3,32,9
32,rdeep,2,32,11
33,mcboy,2,34,11
34,mcboy,2,36,11
35,rdeep,2,36,13
36,rdeep,2,36,15
37,mcboy,1,37,15
38,rdeep,2,37,17
39,mcboy,1,38,17
40,mcboy,1,39,17
41,mcboy,2,41,17
42,mcboy,1,42,17
43,rdeep,1,42,18
44,mcboy,2,44,18
45,mcboy,1,45,18
46,mcboy,2,47,18
47,mcboy,1,48,18
48,rdeep,1,48,19
49,mcboy,2,50,19
50,mcboy,1,51,19
51,mcboy,1,52,19
52,mcboy,2,54,19
53,mcboy,1,55,19
54,mcboy,1,56,19
55,rdeep,2,56,21
56,mcboy,1,57,21
57,mcboy,2,59,21
58,rdeep,2,59,23
59,rdeep,2,59,25
60,rdeep,2,59,27
61,mcboy,1,60,27
62,mcboy,2,62,27
63,mcboy,1,63,27
64,mcboy,2,65,27
65,rdeep,2,65,29
66,mcboy,1,66,29
67,mcboy,2,68,29
68,mcboy,1,69,29
69,mcboy,1,70,29
70,mcboy,1,71,29
71,rdeep,2,71,31
72,rdeep,1,71,32
73,rdeep,2,71,34
74,rdeep,3,71,37
75,rdeep,2,71,39
76,rdeep,1,71,40
77,rdeep,1,71,41
78,mcboy,1,72,41
79,rdeep,2,72,43
80,mcboy,1,73,43
81,mcboy,1,74,43
82,mcboy,2,76,43
83,mcboy,2,78,43
84,rdeep,2,78,45
85,mcboy,1,79,45
86,mcboy,2,81,45
87,mcboy,1,82,45
88,mcboy,1,83,45
89,rdeep,1,83,46
90,rdeep,3,83,49
91,mcboy,2,85,49
92,rdeep,1,85,50
93,mcboy,1,86,50
94,mcboy,1,87,50
95,mcboy,1,88,50
96,mcboy,1,89,50
97,mcboy,1,90,50
98,mcboy,1,91,50
99,rdeep,1,91,51
100,mcboy,2,93,51
