Game no.,Winner,Score,mcboy,rdeep,,,mcboy,rdeep
1,rdeep,3,0,3,,,0,3
2,rdeep,2,0,5,,,0,2
3,mcboy,2,2,5,,,2,0
4,mcboy,1,3,5,,,1,0
5,rdeep,1,3,6,,,0,1
6,rdeep,1,3,7,,,0,1
7,mcboy,1,4,7,,,1,0
8,mcboy,1,5,7,,,1,0
9,rdeep,3,5,10,,,0,3
10,mcboy,2,7,10,,,2,0
11,rdeep,2,7,12,,,0,2
12,rdeep,2,7,14,,,0,2
13,rdeep,1,7,15,,,0,1
14,rdeep,1,7,16,,,0,1
15,mcboy,2,9,16,,,2,0
16,mcboy,2,11,16,,,2,0
17,mcboy,1,12,16,,,1,0
18,mcboy,1,13,16,,,1,0
19,rdeep,3,13,19,,,0,3
20,rdeep,3,13,22,,,0,3
21,mcboy,2,15,22,,,2,0
22,mcboy,1,16,22,,,1,0
23,rdeep,1,16,23,,,0,1
24,mcboy,2,18,23,,,2,0
25,mcboy,3,21,23,,,3,0
26,mcboy,1,22,23,,,1,0
27,rdeep,1,22,24,,,0,1
28,rdeep,1,22,25,,,0,1
29,mcboy,1,23,25,,,1,0
30,mcboy,3,26,25,,,3,0
31,mcboy,1,27,25,,,1,0
32,rdeep,1,27,26,,,0,1
33,mcboy,2,29,26,,,2,0
34,mcboy,1,30,26,,,1,0
35,mcboy,2,32,26,,,2,0
36,mcboy,1,33,26,,,1,0
37,mcboy,2,35,26,,,2,0
38,mcboy,1,36,26,,,1,0
39,rdeep,2,36,28,,,0,2
40,mcboy,1,37,28,,,1,0
41,mcboy,1,38,28,,,1,0
42,mcboy,1,39,28,,,1,0
43,mcboy,1,40,28,,,1,0
44,rdeep,3,40,31,,,0,3
45,mcboy,1,41,31,,,1,0
46,rdeep,3,41,34,,,0,3
47,mcboy,1,42,34,,,1,0
48,mcboy,2,44,34,,,2,0
49,mcboy,2,46,34,,,2,0
50,rdeep,1,46,35,,,0,1
51,rdeep,1,46,36,,,0,1
52,mcboy,1,47,36,,,1,0
53,mcboy,1,48,36,,,1,0
54,mcboy,2,50,36,,,2,0
55,mcboy,1,51,36,,,1,0
56,mcboy,2,53,36,,,2,0
57,mcboy,2,55,36,,,2,0
58,mcboy,1,56,36,,,1,0
59,mcboy,1,57,36,,,1,0
60,mcboy,2,59,36,,,2,0
61,mcboy,1,60,36,,,1,0
62,rdeep,2,60,38,,,0,2
63,mcboy,1,61,38,,,1,0
64,mcboy,2,63,38,,,2,0
65,rdeep,2,63,40,,,0,2
66,mcboy,1,64,40,,,1,0
67,rdeep,1,64,41,,,0,1
68,mcboy,2,66,41,,,2,0
69,mcboy,1,67,41,,,1,0
70,mcboy,1,68,41,,,1,0
71,rdeep,2,68,43,,,0,2
72,rdeep,1,68,44,,,0,1
73,rdeep,2,68,46,,,0,2
74,rdeep,2,68,48,,,0,2
75,rdeep,2,68,50,,,0,2
76,mcboy,2,70,50,,,2,0
77,rdeep,3,70,53,,,0,3
78,rdeep,2,70,55,,,0,2
79,mcboy,1,71,55,,,1,0
80,mcboy,1,72,55,,,1,0
81,rdeep,2,72,57,,,0,2
82,rdeep,2,72,59,,,0,2
83,mcboy,2,74,59,,,2,0
84,rdeep,2,74,61,,,0,2
85,mcboy,1,75,61,,,1,0
86,mcboy,1,76,61,,,1,0
87,mcboy,1,77,61,,,1,0
88,rdeep,2,77,63,,,0,2
89,mcboy,2,79,63,,,2,0
90,rdeep,1,79,64,,,0,1
91,rdeep,1,79,65,,,0,1
92,mcboy,1,80,65,,,1,0
93,mcboy,1,81,65,,,1,0
94,mcboy,1,82,65,,,1,0
95,mcboy,1,83,65,,,1,0
96,mcboy,1,84,65,,,1,0
97,mcboy,1,85,65,,,1,0
98,mcboy,3,88,65,,,3,0
99,mcboy,1,89,65,,,1,0
100,mcboy,1,90,65,,,1,0
101,rdeep,1,90,66,,,0,1
102,mcboy,2,92,66,,,2,0
103,mcboy,1,93,66,,,1,0
104,rdeep,2,93,68,,,0,2
105,mcboy,3,96,68,,,3,0
106,rdeep,2,96,70,,,0,2
107,mcboy,1,97,70,,,1,0
108,mcboy,1,98,70,,,1,0
109,rdeep,2,98,72,,,0,2
110,rdeep,1,98,73,,,0,1
111,mcboy,1,99,73,,,1,0
112,mcboy,1,100,73,,,1,0
113,mcboy,1,101,73,,,1,0
114,mcboy,1,102,73,,,1,0
115,rdeep,1,102,74,,,0,1
116,rdeep,2,102,76,,,0,2
117,mcboy,1,103,76,,,1,0
118,mcboy,1,104,76,,,1,0
119,rdeep,1,104,77,,,0,1
120,rdeep,3,104,80,,,0,3
121,rdeep,1,104,81,,,0,1
122,mcboy,2,106,81,,,2,0
123,mcboy,2,108,81,,,2,0
124,mcboy,1,109,81,,,1,0
125,rdeep,1,109,82,,,0,1
126,mcboy,1,110,82,,,1,0
127,rdeep,2,110,84,,,0,2
128,mcboy,1,111,84,,,1,0
129,mcboy,2,113,84,,,2,0
130,mcboy,1,114,84,,,1,0
131,mcboy,2,116,84,,,2,0
132,mcboy,1,117,84,,,1,0
133,mcboy,2,119,84,,,2,0
134,rdeep,2,119,86,,,0,2
135,mcboy,1,120,86,,,1,0
136,rdeep,2,120,88,,,0,2
137,mcboy,1,121,88,,,1,0
138,rdeep,1,121,89,,,0,1
139,mcboy,2,123,89,,,2,0
140,rdeep,2,123,91,,,0,2
141,mcboy,1,124,91,,,1,0
142,mcboy,1,125,91,,,1,0
143,rdeep,1,125,92,,,0,1
144,mcboy,1,126,92,,,1,0
145,mcboy,1,127,92,,,1,0
146,mcboy,1,128,92,,,1,0
147,rdeep,1,128,93,,,0,1
148,mcboy,1,129,93,,,1,0
149,rdeep,1,129,94,,,0,1
150,mcboy,2,131,94,,,2,0
151,mcboy,3,134,94,,,3,0
152,rdeep,1,134,95,,,0,1
153,rdeep,1,134,96,,,0,1
154,mcboy,1,135,96,,,1,0
155,rdeep,2,135,98,,,0,2
156,rdeep,2,135,100,,,0,2
157,mcboy,1,136,100,,,1,0
158,mcboy,1,137,100,,,1,0
159,rdeep,2,137,102,,,0,2
160,rdeep,2,137,104,,,0,2
161,rdeep,3,137,107,,,0,3
162,mcboy,2,139,107,,,2,0
163,rdeep,2,139,109,,,0,2
164,mcboy,2,141,109,,,2,0
165,rdeep,2,141,111,,,0,2
166,mcboy,2,143,111,,,2,0
167,rdeep,2,143,113,,,0,2
168,rdeep,2,143,115,,,0,2
