Game no.,Winner,Score,rdeep,rand
1,rand,2,0,2
2,rdeep,2,2,2
3,rdeep,1,3,2
4,rand,1,3,3
5,rdeep,2,5,3
6,rdeep,3,8,3
7,rdeep,3,11,3
8,rdeep,2,13,3
9,rdeep,2,15,3
10,rdeep,2,17,3
11,rdeep,1,18,3
12,rdeep,3,21,3
13,rdeep,3,24,3
14,rdeep,1,25,3
15,rdeep,1,26,3
16,rand,1,26,4
17,rdeep,3,29,4
18,rand,2,29,6
19,rdeep,2,31,6
20,rdeep,2,33,6
21,rand,2,33,8
22,rdeep,3,36,8
23,rdeep,2,38,8
24,rdeep,2,40,8
25,rdeep,1,41,8
26,rdeep,2,43,8
27,rdeep,3,46,8
28,rdeep,3,49,8
29,rdeep,3,52,8
30,rdeep,3,55,8
31,rdeep,2,57,8
32,rand,1,57,9
33,rdeep,3,60,9
34,rdeep,2,62,9
35,rand,2,62,11
36,rdeep,3,65,11
37,rdeep,2,67,11
38,rand,1,67,12
39,rdeep,3,70,12
40,rdeep,3,73,12
41,rdeep,3,76,12
42,rdeep,1,77,12
43,rand,1,77,13
44,rdeep,2,79,13
45,rand,1,79,14
46,rdeep,3,82,14
47,rand,1,82,15
48,rdeep,3,85,15
49,rdeep,2,87,15
50,rdeep,2,89,15
51,rdeep,2,91,15
52,rdeep,2,93,15
53,rand,1,93,16
54,rdeep,2,95,16
55,rdeep,2,97,16
56,rdeep,1,98,16
57,rdeep,2,100,16
58,rdeep,1,101,16
59,rdeep,2,103,16
60,rdeep,2,105,16
61,rdeep,3,108,16
62,rdeep,1,109,16
63,rdeep,3,112,16
64,rdeep,1,113,16
65,rdeep,3,116,16
66,rdeep,2,118,16
67,rdeep,1,119,16
68,rand,2,119,18
69,rdeep,1,120,18
70,rdeep,1,121,18
71,rdeep,2,123,18
72,rand,2,123,20
73,rdeep,1,124,20
74,rdeep,1,125,20
75,rand,1,125,21
76,rdeep,2,127,21
77,rdeep,2,129,21
78,rdeep,2,131,21
79,rdeep,2,133,21
80,rdeep,3,136,21
81,rdeep,2,138,21
82,rdeep,2,140,21
83,rdeep,1,141,21
84,rdeep,1,142,21
85,rdeep,3,145,21
86,rdeep,3,148,21
87,rdeep,2,150,21
88,rdeep,3,153,21
89,rdeep,3,156,21
90,rdeep,2,158,21
91,rand,2,158,23
92,rdeep,2,160,23
93,rdeep,3,163,23
94,rdeep,1,164,23
95,rdeep,3,167,23
96,rdeep,1,168,23
97,rdeep,2,170,23
98,rdeep,2,172,23
99,rdeep,1,173,23
100,rdeep,2,175,23
